Dataset,Method,p,Second_degree,Divide,AUC/ROC,Time
ISCX,Sampler,2,False,False,0.2483,49.860817
ISCX,Sampler,4,False,False,0.2536,47.542868
ISCX,Sampler,8,False,False,0.2535,48.179885
ISCX,Sampler,16,False,False,0.2565,48.040065
ISCX,Sampler,32,False,False,0.2654,46.632368
ISCX,Sampler,64,False,False,0.2601,45.967329
ISCX,Sampler,128,False,False,0.2785,46.007908
ISCX,Sampler,256,False,False,0.2763,45.637542
ISCX,Sampler,512,False,False,0.2973,47.038777
ISCX,Sampler,1024,False,False,0.3075,47.792489
DARPA,Sampler,2,False,False,0.9745,316.131325
DARPA,Sampler,4,False,False,0.9662,294.558309
DARPA,Sampler,8,False,False,0.9585,292.216549
DARPA,Sampler,16,False,False,0.9423,293.782688
DARPA,Sampler,32,False,False,0.9175,322.845126
DARPA,Sampler,64,False,False,0.8914,294.527266
DARPA,Sampler,128,False,False,0.8589,285.472269
DARPA,Sampler,256,False,False,0.8183,256.728123
DARPA,Sampler,512,False,False,0.7878,166.981654
DARPA,Sampler,1024,False,False,0.7403,165.329612
DARPA,Sampler,2,False,False,0.9707,213.87172
DARPA,Sampler,4,False,False,0.9657,202.460425
DARPA,Sampler,8,False,False,0.958,199.880892
DARPA,Sampler,16,False,False,0.9413,197.581286
DARPA,Sampler,32,False,False,0.918,192.841313
DARPA,Sampler,64,False,False,0.8927,191.513303
DARPA,Sampler,128,False,False,0.8652,205.911921
DARPA,Sampler,256,False,False,0.8293,209.739519
DARPA,Sampler,512,False,False,0.7704,210.134555
DARPA,Sampler,1024,False,False,0.7327,211.193583
CTU13,Sampler,2,False,False,0.9645,168.90174
CTU13,Sampler,4,False,False,0.9384,118.481423
CTU13,Sampler,8,False,False,0.9238,113.679759
CTU13,Sampler,16,False,False,0.872,113.286601
CTU13,Sampler,32,False,False,0.874,110.910211
CTU13,Sampler,64,False,False,0.827,112.670728
CTU13,Sampler,128,False,False,0.7982,111.560555
CTU13,Sampler,256,False,False,0.7552,109.910193
CTU13,Sampler,512,False,False,0.738,622.964241
CTU13,Sampler,1024,False,False,0.6673,118.757116
NB15,Sampler,2,False,False,0.9057,135.76288
NB15,Sampler,4,False,False,0.9103,136.814695
NB15,Sampler,8,False,False,0.9068,135.652707
NB15,Sampler,16,False,False,0.9116,116.065065
NB15,Sampler,32,False,False,0.9115,121.634584
